category,date,description,name,picture,price
Kühlung & Tiefkühlkost,2022-03-21,Besonders milder GeschmackIn Scheiben250-g-Packung,"
                        Meine Käsetheke Wilstermarsch 250g
                    ",https://s7g10.scene7.com/is/image/aldi/202008210502,"
				€ 1,99
			"
Nahrungsmittel,2022-03-21,Je 250-g-PackungFeiner PuderzuckerZum Backen und Dekorieren,"
                        DIAMANT Puderzucker 250 g
                    ",https://s7g10.scene7.com/is/image/aldi/202009200092,"
				€ 0,29
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 450-g-PackungNettogewicht = Abtropfgewicht = 450-g-PackungWildfangEinzeln entnehmbar,"
                        GOURMET FINEST CUISINE Zanderfilets 450 g
                    ",https://s7g10.scene7.com/is/image/aldi/202111190916,"
				€ 4,49
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 125-g-PackungVersch. Sorten:
	","
                        MEINE METZGEREI Aufschnitt 125 g
                    ",https://s7g10.scene7.com/is/image/aldi/202101110619,"
				€ 1,09
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 100-g-PackungGeschält und gekocht,"
                        GOURMET Premium-Garnelen 100 g
                    ",https://s7g10.scene7.com/is/image/aldi/202011180180,"
				€ 2,99
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 100-g-PackungSchweizer SchnittkäseFromage de Bellelay,"
                        GOURMET Tête de Moine 100 g
                    ",https://s7g10.scene7.com/is/image/aldi/202011180067,"
				€ 3,59
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 200-g-PackungDLG-prämiert,"
                        GUT BIO Bio Körniger Frischkäse 200 g
                    ",https://s7g10.scene7.com/is/image/aldi/202203110731,"
				€ 0,99
			"
Kühlung & Tiefkühlkost,2022-03-21,Je StückGanzes frisches HähnchenHKL AFrischfleisch,"
                        GUT BIO Bio-Landhendl 1 kg
                    ",https://s7g10.scene7.com/is/image/aldi/202112100307,"
				€ 9,49
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 100-g-Packung,"
                        GUT BIO Bio-Baconwürfel 100 g
                    ",https://s7g10.scene7.com/is/image/aldi/202202150246-1,"
				€ 1,99
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 80-g-Packung,"
                        GUT BIO Bio-Schinkenwürfel 80 g
                    ",https://s7g10.scene7.com/is/image/aldi/202202150237-1,"
				€ 1,99
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 500-g-BecherVerschiedene Sorten:
	Hergestellt mit feinster Biomilch aus SüddeutschlandCremig und erfrischendAuch mit Früchten ein GenussPrima geeignet für Joghurt-Mischgetränke","
                        GUT bio Bio-Joghurt mild 500 g
                    ",https://s7g10.scene7.com/is/image/aldi/202009200232,"
				€ 0,89
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 80-g-PackungGUT BIO: Bio-Vielfalt, die ständig wächst: Unsere Marke für beste Bio-Qualität aus kontrolliert ökologischer Erzeugung. Mit über 450 Bio-Produkten im Jahr, Tendenz steigend","
                        GUT BIO Bio-Garnelen 80 g
                    ",https://s7g10.scene7.com/is/image/aldi/202201140106,"
				€ 2,29
			"
"Brot, Aufstrich & Cerealien",2022-03-21,Je 390-g-Packung,"
                        MEINE KUCHENWELT Mini-Kuchensnack 390 g
                    ",https://s7g10.scene7.com/is/image/aldi/202201310879,"
				€ 1,59
			"
"Brot, Aufstrich & Cerealien",2022-03-21,Je 208-g-Packung8 Stück,"
                        MEINE KUCHENWELT Frischei-Waffeln 208 g
                    ",https://s7g10.scene7.com/is/image/aldi/202112020090,"
				€ 0,89
			"
"Brot, Aufstrich & Cerealien",2022-03-21,Je 500-g-Packung,"
                        KNUSPERONE Cornflakes 500 g
                    ",https://s7g10.scene7.com/is/image/aldi/202111260077,"
				€ 0,99
			"
"Brot, Aufstrich & Cerealien",2022-03-21,Je 250-g-Packung12 Stück,"
                        MEINE KUCHENWELT Frischei-Waffeln 250 g
                    ",https://s7g10.scene7.com/is/image/aldi/202112020095,"
				€ 0,89
			"
Kaffee & Tee,2022-03-21,50 % kalorienreduziert gegenüber anderen Zitronen-TeegetränkenIdeal für FigurbewussteMit intensivem ZitronengeschmackKalt und heiß ein echter HochgenussAuch mit Eiswürfeln leckerIn Deutschland hergestellt400-g-Dose,"
                        Zitronen Teegetränk 50% kalorienreduzierung 400 g
                    ",https://s7g10.scene7.com/is/image/aldi/202008210015-1,"
				€ 1,59
			"
Kaffee & Tee,2022-03-21,Je 1-kg-Packung,"
                        LAVAZZA Caffè Crema Classico ganze Bohne 1 kg
                    ",https://s7g10.scene7.com/is/image/aldi/202106240016,"
				€ 14,99
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 3 x 30 g = 90-g-Packung,"
                        GOURMET Ziegenfrischkäse im Speckmantel 90 g
                    ",https://s7g10.scene7.com/is/image/aldi/202011060054,"
				€ 1,89
			"
Kaffee & Tee,2022-03-21,Je 1-kg-Packung,"
                        Lavazza Crema e Aroma ganze Bohne 1 kg
                    ",https://s7g10.scene7.com/is/image/aldi/202106240017,"
				€ 14,99
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 100-g-PackungVersch. Sorten:
	","
                        MEINE METZGEREI Aufschnitt 100 g
                    ",https://s7g10.scene7.com/is/image/aldi/202101110620,"
				€ 0,99
			"
Kaffee & Tee,2022-03-21,"Je 1,5-l-FlascheVersch. Sorten:
	","
                        Westminster Eistee 1,5 l
                    ",https://s7g10.scene7.com/is/image/aldi/202101270078,"
				€ 0,49
			"
Getränke,2022-03-21,"Je 750-ml-FlascheRIO D‘ORO®: Viel Frucht in großer Auswahl. Köstliche Klassiker, heimische Landfrüchte und Exotisches aus fernen Ländern: Mit RIO D‘ORO® kommt saftige Abwechslung in den AlltagVersch. Sorten:
	","
                        RIO D’ORO® Premium Smoothie 750 ml
                    ",https://s7g10.scene7.com/is/image/aldi/202201240114,"
				€ 2,59
			"
Getränke,2022-03-21,Je 500-ml-Packung,"
                        SCHNEEKOPPE Bio-Gemüsesaft 500 ml
                    ",https://s7g10.scene7.com/is/image/aldi/202112130851,"
				€ 0,85
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 144-g-Packung,"
                        GOURMET FINEST CUISINE Macarons 144 g
                    ",https://s7g10.scene7.com/is/image/aldi/202202010032,"
				€ 3,49
			"
Getränke,2022-03-21,"Je 1-l-FlaschePremium-DirektsaftRIO D‘ORO®: Viel Frucht in großer Auswahl. Köstliche Klassiker, heimische Landfrüchte und Exotisches aus fernen Ländern: Mit RIO D‘ORO® kommt saftige Abwechslung in den Alltag","
                        RIO D’ORO® Orangendirektsaft 1 l
                    ",https://s7g10.scene7.com/is/image/aldi/202201240109,"
				€ 1,59
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 6er-Packung,"
                        Mucci Waffelhörnchen 6 x 120 ml
                    ",https://s7g10.scene7.com/is/image/aldi/202105101003,"
				€ 1,39
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 250-g-PackungDLG-prämiertVersch. Sorten:
	","
                        GUT DREI EICHEN Landleberwurst 250g
                    ",https://s7g10.scene7.com/is/image/aldi/202203110728,"
				€ 1,29
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 300-g-Packung,"
                        GUT DREI EICHEN Nürnberger Rostbratwürste 300 g
                    ",https://s7g10.scene7.com/is/image/aldi/202203070142,"
				€ 2,79
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 250-g-Packung,"
                        GUT DREI EICHEN Nürnberger Rostbratwürste 250 g
                    ",https://s7g10.scene7.com/is/image/aldi/202203070125,"
				€ 2,79
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 250-g-PackungFrischer EiernudelteigVersch. Sorten:
	","
                        GOURMET FINEST CUISINE Frische Pasta 250 g
                    ",https://s7g10.scene7.com/is/image/aldi/202111020697,"
				€ 1,79
			"
"Brot, Aufstrich & Cerealien",2022-03-21,Köstliche WeizensoftbrötchenOptimal für klassische oder vegetarische HamburgerLeicht durchzuschneiden und zu erwärmen6 Stück300-g-Packung,"
                        Goldähren Hamburger-Brötchen 300 g
                    ",https://s7g10.scene7.com/is/image/aldi/202008210409,"
				€ 0,79
			"
"Brot, Aufstrich & Cerealien",2022-03-21,Je 450-g-Packung,"
                        GOLDÄHREN Zwieback 450 g
                    ",https://s7g10.scene7.com/is/image/aldi/202111260085,"
				€ 1,39
			"
"Brot, Aufstrich & Cerealien",2022-03-21,"Je 320-PackungVersch. Sorten:
	","
                        GUT BIO Bio-Brötchen 320 g
                    ",https://s7g10.scene7.com/is/image/aldi/202202250619,"
				€ 1,59
			"
"Brot, Aufstrich & Cerealien",2022-03-21,Je 360-Packung,"
                        GUT BIO Bio-Brötchen Krustenspitz 360 g
                    ",https://s7g10.scene7.com/is/image/aldi/202202250618,"
				€ 1,59
			"
"Brot, Aufstrich & Cerealien",2022-03-21,"Knusprig und schokoladigVielseitig zum Frühstück servierbarSchmeckt hervorragend mit Milch, Fruchtsäften, Joghurt und frischen Früchten750-g-Packung","
                        Knusperone Schoko CHiPS 750g
                    ",https://s7g10.scene7.com/is/image/aldi/202008210302,"
				€ 1,99
			"
