description,name,price
Je 1-l-FlascheCLINAIR:,"
                        CLINAIR Glasreiniger 1 l
                    ","
				€ 1,15
			"
"Je 750-ml-FlascheVersch. Sorten: 
	","
                        GREEN ACTION WC-Reiniger 750 ml
                    ","
				€ 0,85
			"
"Je 1,1-l-Flasche20 AnwendungenRezeptur ohne MikroplastikTANDIL: Unsere Marke für zuverlässige Sauberkeit und schonende Wäsche. Noch mehr Auswahl findest du dauerhaft in deiner FilialeMitglied der Initiative: ","
                        TANDIL Flüssigwaschmittel Universal 1,1 l
                    ","
				€ 3,15
			"
Je 1-l-FlascheCLINAIR:,"
                        CLINAIR Essigreiniger 1 l
                    ","
				€ 0,65
			"
"Je 2,025-kg-Packung30 WaschladungenPreis je Anwendung 0.14Cleanright.eu-zertifiziert","
                        TANDIL Vollwaschmittel Ultra Plus 2,025 kg
                    ","
				€ 4,25
			"
Je PackungEinzeln entnehmbarMaße ca.: 38 x 42 cm,"
                        OPTIHOME Backpapierzuschnitte, 30 Stück
                    ","
				€ 0,95
			"
Je 2 StückFür Obst und Gemüse,"
                        Mehrweg-Frischenetz 2 Stück
                    ","
				€ 0,49
			"
"Je 1,8-kg-PackungMit Aktiv-SauerstoffFür ca. 100 Anwendungen","
                        alio Geschirr-Reiniger-Pulver 1,8 kg
                    ","
				€ 2,95
			"
Je Flasche51 TabsTANDIL:Unsere Marke für zuverlässige Sauberkeit und schonende Wäsche. Noch mehr Auswahl findest du dauerhaft in deiner FilialeMitglied der Initiative: ,"
                        TANDIL Kalkstopp-Tabs
                    ","
				€ 3,35
			"
Je Packung80 WaschladungenTANDIL:Unsere Marke für zuverlässige Sauberkeit und schonende Wäsche. Noch mehr Auswahl findest du dauerhaft in deiner FilialeMitglied der Initiative: ,"
                        TANDIL Classic Color 80 Waschladungen
                    ","
				€ 9,95
			"
"Je 1-l-FlascheCLINAIR:Mitglied der Initiative: Versch. Sorten:
	","
                        CLINAIR WC-Reiniger 1 l
                    ","
				€ 0,95
			"
"Je 500-ml-FlascheVersch. Sorten: 
	100 % recycelter Kunststoff (aus PET)","
                        green action Ecolabel Spülmittel 500 ml
                    ","
				€ 0,85
			"
Je PackungColorwaschmittel oder Vollwaschmittel22 WaschladungenTANDIL:Unsere Marke für zuverlässige Sauberkeit und schonende Wäsche. Noch mehr Auswahl findest du dauerhaft in deiner FilialeMitglied der Initiative: ,"
                        TANDIL 3in1 Caps 22 Waschladungen
                    ","
				€ 4,35
			"
"Je 2er-PackungCLINAIR:Mitglied der Initiative: Versch. Sorten:
	","
                        CLINAIR WC-Duftjuwelen 2er-Packung
                    ","
				€ 1,25
			"
"Je 3er-PackungFlüssigCLINAIR:Mitglied der Initiative: Versch. Sorten:
	","
                        CLINAIR WC-Duftspüler 3er-Packung
                    ","
				€ 1,25
			"
Je 500-g-Packung,"
                        SÜSSLI® Birkenzucker 500 g
                    ","
				€ 3,99
			"
"Je 250-g-PackungOhne Milch und ZuckerzusatzMit 99,9% VollkorngetreideBiologische Rohstoffe","
                        MAMIA BIO Bio Haferbrei 250 g
                    ","
				€ 1,19
			"
"Je 100-g-GlasAus 100% Arabica-BohnenGefriergetrocknetVollmundiger KaffeegeschmackFür den Express-Kaffee daheim, beim Camping oder im Büro","
                        AMAROY Express Kaffee Gold 100 g
                    ","
				€ 2,49
			"
"Je 1-l-FlascheHalbtrockenIdeal zu Geflügel, Nudeln, Gegrilltem und KäseFruchtigrot aus WürttembergQualität aus Deutschland","
                        Collection Württemberg Trollinger mit Lemberger 1 l
                    ","
				€ 3,59
			"
